x,hi,low
495.0,1.13777,1.1376
496.0,1.1378,1.13764
497.0,1.13778,1.13761
498.0,1.13778,1.13762
499.0,1.13779,1.13764
500.0,1.13779,1.13764
501.0,1.13778,1.13764
502.0,1.13775,1.13759
503.0,1.13773,1.13758
504.0,1.13773,1.13757
505.0,1.1377,1.13755
506.0,1.13767,1.13753
507.0,1.1376,1.13746
508.0,1.1376,1.13745
509.0,1.13759,1.13743
510.0,1.13769,1.13754
511.0,1.1376,1.13746
512.0,1.1377,1.13755
513.0,1.13767,1.13752
514.0,1.13759,1.13744
515.0,1.13756,1.13741
516.0,1.13764,1.13751
517.0,1.13761,1.13747
518.0,1.13764,1.13748
519.0,1.1376,1.13744
520.0,1.13756,1.13743
521.0,1.1376,1.13745
522.0,1.13766,1.13753
523.0,1.13766,1.13751
524.0,1.13761,1.13746
525.0,1.13757,1.13743
526.0,1.13759,1.13745
527.0,1.13757,1.13742
528.0,1.13754,1.1374
529.0,1.1376,1.13747
530.0,1.13752,1.13736
531.0,1.13744,1.1373
532.0,1.13746,1.13731
533.0,1.13745,1.1373
534.0,1.13742,1.13728
535.0,1.1374,1.13726
536.0,1.13743,1.13728
537.0,1.13746,1.13731
538.0,1.13743,1.13729
539.0,1.13739,1.13726
540.0,1.13742,1.13727
541.0,1.13745,1.13731
542.0,1.13743,1.13728
543.0,1.13746,1.13731
544.0,1.13744,1.13731
545.0,1.13747,1.13732
546.0,1.13755,1.13741
547.0,1.1375,1.13737
548.0,1.13747,1.13734
549.0,1.13744,1.1373
550.0,1.13752,1.13737
551.0,1.13755,1.13741
552.0,1.13759,1.13743
553.0,1.13756,1.13741
554.0,1.13753,1.13739
555.0,1.13751,1.13736
556.0,1.13744,1.13729
557.0,1.13746,1.13732
558.0,1.13749,1.13733
559.0,1.13751,1.13736
560.0,1.13751,1.13736
561.0,1.13739,1.13726
562.0,1.13745,1.13732
563.0,1.1376,1.13746
564.0,1.13757,1.13743
565.0,1.1376,1.13745
566.0,1.13759,1.13744
567.0,1.13774,1.1376
568.0,1.13774,1.1376
569.0,1.13771,1.13757
570.0,1.13775,1.1376
571.0,1.13781,1.13766
572.0,1.13775,1.13761
573.0,1.1378,1.13765
574.0,1.13777,1.13763
575.0,1.1378,1.13765
576.0,1.1379,1.13776
577.0,1.13794,1.13781
578.0,1.13799,1.13784
579.0,1.13787,1.13773
580.0,1.1379,1.13774
581.0,1.1379,1.13776
582.0,1.13791,1.13775
583.0,1.13785,1.1377
584.0,1.13773,1.13759
585.0,1.13763,1.1375
586.0,1.13769,1.13752
587.0,1.13768,1.13753
588.0,1.13765,1.1375
589.0,1.13766,1.13751
590.0,1.13769,1.13754
591.0,1.13767,1.13751
592.0,1.1377,1.13754
593.0,1.13767,1.13751
594.0,1.1378,1.13765
595.0,1.13792,1.13775
596.0,1.1379,1.13775
597.0,1.13793,1.13778
598.0,1.13798,1.13781
599.0,1.13792,1.13779
600.0,1.13787,1.13773
601.0,1.13784,1.13771
602.0,1.13786,1.13772
603.0,1.13784,1.1377
604.0,1.13781,1.13767
605.0,1.13778,1.13764
606.0,1.1378,1.13767
607.0,1.13785,1.1377
608.0,1.13788,1.13775
609.0,1.13793,1.13777
610.0,1.13783,1.13769
611.0,1.1378,1.13766
612.0,1.13782,1.13769
613.0,1.13782,1.13768
614.0,1.13784,1.13771
615.0,1.13783,1.13768
616.0,1.13776,1.13763
617.0,1.13783,1.13768
618.0,1.13797,1.13783
619.0,1.13795,1.1378
620.0,1.13798,1.13784
621.0,1.13798,1.13783
622.0,1.138,1.13785
623.0,1.13797,1.13783
624.0,1.13787,1.13773
625.0,1.13791,1.13776
626.0,1.13787,1.13771
627.0,1.13779,1.13764
628.0,1.13772,1.13758
629.0,1.13767,1.13753
630.0,1.13765,1.1375
631.0,1.1376,1.13746
